       x       x
       x       x
       x       x
       x       x
       x       x
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
 1048094   32034
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
  603225  857687
